uid,sentence,sentiment
3,AdilNisarButt pakistan ka ghra tauq he Pakistan Israel ko tasleem nahein kerta Isko Palestine kehta he OCCUPIED PALESTINE,negative
41,Madarchod mulle ye mathura me Nahi dikha tha jab mullo ne Hindu ko iss liye mara ki vo lasse ki paise mag liye the https t co oxf8tr3bly,negative
48,narendramodi Manya Pradhan Mantri mahoday Shriman Narendra Modi ji Pradhanmantri banne par Hardik Badhai tahe Dil https t co pRnoMsKkn1,positive
64,Atheist Krishna Jcb full trend me chal rahi aa,positive
66,AbhisharSharma RavishKumarBlog Loksabha me janta sirf modi ko vote de rahi thi na ki kisi MP or BJP ko without m https t co sHtBWCB7FM,positive
68,noirnaveed AngelAhana6 cricketworldcup Bhosdike tum pechvade ki tatti hi rahoge bc,negative
90,Love u Bhaijan Father son Bharat IAmBharat BharatThisEid BEST Pic From Entire Promotions Mashallah https t co S2xhwU6LUD,positive
99,manojgajjar111 Tumhara pass abh deemagh hai nahi islea Google ko apna deemagh banaya hua hai Har koi tumhari tarh https t co BxuEug3xsN,negative
101,Mahlogo nolo Weni ankere o gae this weekend,positive
104,Aurangzeb AIMIM SachinS40805591 Lage raho mullo tumhre issi Quran faad gyan ki kayal hain duniya Allah bhi khus https t co GHa9dWNZ6u,negative
106,reema omer BushraGohar QasimKhanSuri Ali MuhammadPTI Pakhtoon k haqooq ki jang nahi punjab k haqooq ki jung pak https t co R7pjojNwre,negative
146,cooladitaya khanumarfa Ye sale is desh ke kabhi sage nahin ho sakte Ye gaddar hain Inke sath kadi se kadi kanun https t co 0HuukV4zK2,negative
150,HYUN7lN saf baby i m sorry i wasn t online i hope you re sleeping well though i love you,positive
157,Nevveon Real life k log chor diye hain mene already jo snakes thy ab internet k chorne hain i'm sad for no reason solmon,negative
167,mjdawar Mohsin DawarTweets daikho aur kuch kha ker mar jao Bayghayrat insanTum aur Ali Wazir harami ho Pakistan https t co i9vB0emof3,negative
